Player Name,Position,School,Year,Height ,Weight,40 Time,PFF,NFL Draft Buzz,PFN,TANKATHON,Drafttech,CBS,Mel Kiper,Field Yates,Matt Miller,Daniel Jeremiah,Charlie Campbell,Average,Remarks
Damon Payne,DL,Michigan,Senior,6'4,311,5.2,,257,,,,,,,,,,,
Damonic Williams,DL,Oklahoma,Senior,6'1,323,,299,,,,,,,,,,,,
Dane Key,WR,Nebraska,Senior,6'3,210,4.5,182,146,,,253,,,,,,,,
Daniel Harris,CB,California,,6'3,195,,245,,,,,,,,,,,,
Darnell Jeffries,DL,Minnesota,Senior,6'3,285,5.09,,317,,,,,,,,,,,
Dasan McCullough,EDGE,Nebraska,Senior,6'5,235,4.58,,194,,,277,,,,,,,,
Dashawn Jones,CB,Alabama,Senior,6'0,190,,302,,,,,,,,,,,,
David Daniel Sisavah,S,Troy,Senior,6'2,190,4.46,,304,,,,,,,,,,,
David Oke,DL,Arkansas,Senior,6'2,314,,138,113,,,,,,,,,,,
Davon Booth,RB,Mississippi State,Graduated,5'10,205,,364,,,,275,,,,,,,,
De'Zhaun Stribling,WR,Ole Miss,Senior,6'2,200,4.52,110,166,,,293,,,,,,,,
Dean Conners,RB,Houston,Senior,6'0,206,,257,,,,217,,,,,,,,
Dean Miller,EDGE,Kansas,Senior,6'5,240,,309,,,,,,,,,,,,
Deion Burks,WR,Oklahoma,Senior,5'9,188,4.43,90,89,119,79,68,,,,,,53,,
Deion Colzie,WR,Miami Ohio,Senior,6'4,211,4.46,,282,,,,,,,,,,,
Demon Clowney,LB,South Carolina,Senior,6'4,255,4.55,,265,,,,,,,,,,,
Demorie Tate,CB,Florida A&M,Senior,6'1,195,4.42,,315,,,,,,,,,,,
Denver Harris,CB,UNLV,Senior,6'0,190,,,205,,,,,,,,,,,
Deontae Lawson,LB,Alabama,Senior,6'2,228,4.6,48,48,78,49,40,,,,,,62,,
Derrick Davis Jr,RB,Pittsburg ,Senior,6'0,210,4.56,,308,,,,,,,,,,,
DeShon Singleton,S,Nebraska,Senior,6'3,210,,,,,,116,,,,,,,,
Desmond Parnell,LB,Kansas State,Senior,6'0,232,,400,,181,,170,,,,,,,,
Desmond Reid,RB,Pittsburg ,Senior,5'8,175,4.38,171,163,153,,240,,,,,,,,
Deuce Chester,S,Syracuse,Senior,6'0,195,4.56,,211,179,,,,,,,,,,
Deven Eastern,DL,Minnesota ,Senior,6'5,316,,,,168,,,,,,,,,,
Deven Eastern,DL,Minnesota ,Senior,6'6,320,,335,,,,144,,,,,,,,
Devin Hobbs,DL,Tennessee ,Junior,6'4,290,,,172,,,,,,,,,,,
Devin Mockobee,RB,Purdue,Senior,6'0,202,,321,,,,,,,,,,,,
Devin Moore,CB,Florida,Senior,6'3,198,,339,,,70,,,,,,,,,
Devon Marshall,CB,NC State,Junior,5'11,200,,170,,77,,284,,,,,,,,
Devonte Ross,WR,Penn State,Senior,5'10,170,,322,,,,,,,,,,,,
Diego Pavia,QB,Vanderbilt,Senior,6'0,207,4.59,178,77,172,,153,,,,,,,,
Dijon Johnson,CB,Florida,Junior,6'1,204,4.48,,181,,,,,,,,,,,
Dillon Bell,WR,Georgia,Senior,6'1,210,,229,,,,,,,,,,,,
DJ Graham II,CB,Kansas,Senior,6'0,200,4.55,,287,,,,,,,,,,,
DJ Harvey,CB,USC,Senior,5'10,190,4.44,195,150,, ,270,,,,,,,,
DJ Rogers,TE,TCU,Senior,6'3,250,4.64,,,167,,221,,,,,,,,
Domani Jackson,CB,Alabama,Senior,6'1,196,4.28,187,115,147,99,52,,,,,,42,,
Dominic Bailey,EDGE,Tennessee,Senior,6'3,292,,,,,,279,,,,,,,,
Dominic Zvada,K,Michigan,Senior,6'3,187,,415,189,,,,,,,,,,,
Donovan Greene,WR,Virginia Tech,Graduated,6'2,196,,295,,,,,,,,,,,,
DQ Smith,S,South Carolina,Senior,6'1,219,,319,,,,189,,,,,,,,
Drew Allar,QB,Penn State,Senior,6'5,235,4.9,122,110,165,98,56,,,,,,59,,
Drew Payne,QB,Bowling Green,Senior,6'0,200,4.68,,312,,,,,,,,,,,
Drew Stevens,K,Iowa,Senior,6'1,205,,413,,,,287,,,,,,,,
DT Sheffield ,WR,Rutgers,Senior,5'10,175,,411,,,,283,,,,,,,,
Dylan Brooks,EDGE,Kansas,Senior,6'4,245,4.6,,239,,,,,,,,,,,
Dylan Morris,QB,James Madison,Senior,6'1,202,4.85,,316,,,,,,,,,,,
EJ Williams,WR,Indiana,Senior,6'4,203,4.49,,270,,,,,,,,,,,
Eli Heidenreich,WR,Navy,Senior,5'11,197,4.5,,,,,249,,,,,,,,
Eli Raridon,TE,Notre Dame,Senior,6'7,251,4.78,,102,75,94,190,,,,,,54,,
Elliot Donald,DL,Pittsburg,Junior,6'3,275,4.69,,297,,,,,,,,,,,
Emmanuel Henderson,WR,Kansas,Senior,6'1,190,,,,,,239,,,,,,,,
Emmett Johnson,RB,Nebraska,Junior,5'11,200,4.52,85,71,52,77,109,,,,,,,,
Eric Gentry,LB,USC,Senior,6'6,225,4.56,264,216,,,185,,,,,,,,
Eric McAlister,WR,TCU,Senior,6'3,205,4.52,,138,130,122,266,,,,,,,,
Eric O'Neil,EDGE,Rutgers,Senior,6'3,261,,220,169,,,208,,,,,,,,
Ethan Calvert,LB,Cal Ploy,Senior,6'3,215,4.65,,299,,,,,,,,,,,
Ethan Conner,CB,Miami,Sophomore,6'1,172,4.5,,184,,,,,,,,,,,
Ethan Conner,TE,Troy,Senior,6'4,245,,,,,,,,,,,,,,
Fred Davis,CB,Northwestern,Senior,6'1,200,4.29,,215,,,,,,,,,,,
Gabriel Rubio,DL,Norte Dame,Senior,6'5,322,4.9,,240,,,,,,,,,,,
Gary Smith,DL,UCLA,Senior,6'2,340,,263,,99,,168,,,,,,,,
George Gumbs Jr,EDGE,Florida,Senior,6'4,250,,164,,,,180,,,,,,,,
Gracen Halton,DL,Oklahoma,Senior,6'2,292,4.86,232,142,,118,184,,,,,,,,
Grayson James,QB,Boston College,Senior,6'3,218,,286,,,,,,,,,,,,
Gunner Maldonado,S,Kansas State,Senior,5'11,193,,311,,,,,,,,,,,,
Gunner Stockton,QB,Georgia,Junior,6'1,215,4.65,,165,,,,,,,,,,,
Hank Beatty,WR,Illinois,Senior,5'11,185,,265,,,,156,,,,,,,,
Hank Brown,QB,Iowa,Sophomore,6'4,215,4.85,,294,,,,,,,,,,,
Harrison Wallace III,WR,Mississippi,Senior,6'1,200,,269,,105,,151,,,,,,,,
Hayes King,QB,Georgia Tech,Senior,6'3,215,4.45,,193,,,286,,,,,,,,
Hezekiah Masses,CB,California,,,,,136,,76,104,130,,,,,,,,
Hykeem Williams,WR,Colorado,Junior,6'2,220,4.32,,180,,,,,,,,,,,
Isaac Smith,S,Mississippi State,Junior,6'0,220,4.6,,179,,,,,,,,,,,
Isaiah Nwokobia,S,SMU,Senior,6'1,205,,172,,,,264,,,,,,,,
J.Michael Sturdivant,WR,Florida,Senior,6'3,213,4.38,193,177,,,,,,,,,,,
J'Mari Taylor,RB,Virginia,Senior,5'9,204,4.39,140,118,,134,113,,,,,,,,
Ja'Keem Jackson,CB,LSU,Sophomore,6'0,190,4.45,,203,,,,,,,,,,,
Ja'Mori Mackin,WR,Kentucky ,Senior,5'11,191,,408,,,,,,,,,,,,
Jack Kelly,LB,BYU,Senior,6'2,242,,391,,,,,,,,,,,,
Jack Pyburn,EDGE,LSU,Senior,6'4,264,,281,,182,,187,,,,,,,,
Jack Strand,QB,Minnesota State,Junior,6'5,240,,,,128,,,,,,,,,,
Jack Velling,TE,Michigan State,Senior,6'5,245,,255,183,,,,,,,,,,,
Jackie Marshall,EDGE,Baylor,Senior,6'3,306,,291,,,,282,,,,,,,,
Jackson Kuwatch,EDGE,Miami (OH),Senior,6'4,235,,,,,,197,,,,,,,,
