Rank,Player Name,Position,College,Year,Height,Weight,40 Time,PFF,PFN,SI,NFL Draft Buzz,Bleacher Report,Athletic,CBS,USA Today,SCOUTD,Mel Kiper,Matt Miller,Daniel Jeremiah,Dane Brugler,Charlie Campbell,Average,Remarks
136,Bishop Fitzgerald,S,USC,Senior,5'11,205,4.42,,,,,,,,,,,,,,,
162,Cole Wisniewski,S,Texas Tech,Senior,6'4,220,,,,,,,,,,,,,,,,
163,Jamel Johnson,S,TCU,,,,,,,,,,,,,,,,,,
176,Austin Brown,S,Wisconsin,Senior,6'1,216,,,,,,,,,,,,,,,,
186,VJ Payne,S,Kansas State,Senior,6'3,208,,,,,,,,,,,,,,,,
191,Xavier Nwankpa,S,Iowa,Senior,6'2,213,,,,,,,,,,,,,,,,
15,Kenyon Sadiq,TE,Oregon,Junior,6'3,245,4.55,,,,,,,,,,,,,,,
60,Max Klare,TE,Ohio State,Junior,6'5,243,4.7,,,,,,,,,,,,,,,
69,Eli Stowers,TE,Vanderbilt,Senior,6'4,235,4.55,,,,,,,,,,,,,,,
73,Michael Trigg,TE,Baylor,Senior,6'4,240,4.7,,,,,,,,,,,,,,,
83,Justin Joly,TE,NC State,Senior,6'3,251,4.75,,,,,,,,,,,,,,,
87,Joe Royer,TE,Cincinnati,Senior,6'5,250,4.65,,,,,,,,,,,,,,,
90,Jack Endries,TE,Texas,Junior,6'4,240,4.68,,,,,,,,,,,,,,,
99,Oscar Delp,TE,Georgia,Senior,6'5,245,4.52,,,,,,,,,,,,,,,
115,Eli Raridon,TE,Notre Dame,Senior,6'7,251,4.78,,,,,,,,,,,,,,,
139,Tanner Koziol,TE,Houston,Senior,6'7,240,4.76,,,,,,,,,,,,,,,
141,Dallen Bentley,TE,Utah,Senior,6'4,259,,,,,,,,,,,,,,,,
146,Dae'Quan Wright,TE,Mississippi,Senior,6'4,255,,,,,,,,,,,,,,,,
152,Marlin Klein,TE,Michigan,Senior,6'6,250,,,,,,,,,,,,,,,,
153,John Michael Gyllenborg,TE,Wyoming,Senior,6'5,251,,,,,,,,,,,,,,,,
160,Tanner Arkin,TE,Illinois,Senior,6'4,265,,,,,,,,,,,,,,,,
161,Lawson Luckie,TE,Georgia,Junior,6'4,240,4.65,,,,,,,,,,,,,,,
169,Brett Norfleet,TE,Missouri,Junior,6'6,263,4.66,,,,,,,,,,,,,,,
170,Jameson Geers,TE,Minnesota,,,,,,,,,,,,,,,,,,
189,Miles Kitselman,TE,Tennessee,Senior,6'5,265,4.75,,,,,,,,,,,,,,,
4,Carnell Tate,WR,Ohio State,Junior,6'3,195,4.6,,,,,,,,,,,,,,,
5,Jordyn Tyson,WR,Arizona State,Junior,6'2,200,4.5,,,,,,,,,,,,,,,
13,Makai Lemon,WR,USC,Junior,5'11,195,4.48,,,,,,,,,,,,,,,
19,Denzel Boston,WR,Washington,Junior,6'4,209,4.52,,,,,,,,,,,,,,,
21,Kevin Concepcion,WR,Texas A&M,Junior,5'11,190,4.46,,,,,,,,,,,,,,,
33,Chris Bell,WR,Louisville,Senior,6'2,220,4.44,,,,,,,,,,,,,,,
39,Elijah Sarratt,WR,Indiana,Senior,6'2,209,4.6,,,,,,,,,,,,,,,
43,Zachariah Branch,WR,Georgia,Junior,5'10,180,4.35,,,,,,,,,,,,,,,
44,Germie Bernard,WR,Alabama,Senior,6'1,204,4.52,,,,,,,,,,,,,,,
45,Chris Brazzell,WR,Tennessee,Junior,6'5,200,4.48,,,,,,,,,,,,,,,
50,Ja'Kobi Lane,WR,USC,Junior,6'4,200,4.55,,,,,,,,,,,,,,,
65,Omar Cooper Jr.,WR,Indiana,Junior,6'0,201,4.49,,,,,,,,,,,,,,,
70,Antonio Williams,WR,Clemson,Junior,5'11,190,4.45,,,,,,,,,,,,,,,
76,Malachi Fields,WR,Notre Dame,Senior,6'4,223,4.5,,,,,,,,,,,,,,,
81,Skyler Bell,WR,UConn,Senior,6'0,185,4.43,,,,,,,,,,,,,,,
97,C.J. Daniels,WR,Miami (FL),Senior,6'2,205,4.44,,,,,,,,,,,,,,,
100,Deion Burks,WR,Oklahoma,Senior,5'9,188,4.43,,,,,,,,,,,,,,,
104,Brenen Thompson,WR,Mississippi State,Senior,5'9,170,4.34,,,,,,,,,,,,,,,
114,Ted Hurst,WR,Georgia State,Senior,6'3,185,4.48,,,,,,,,,,,,,,,
119,Kaden Wetjen,WR,Iowa,,,,,,,,,,,,,,,,,,
126,Lewis Bond,WR,Boston College,Senior,5'11,190,,,,,,,,,,,,,,,,
132,Bryce Lance,WR,North Dakota State,Senior,6'3,209,4.6,,,,,,,,,,,,,,,
143,Eric Rivers,WR,Georgia Tech,Senior,5'11,180,4.38,,,,,,,,,,,,,,,
144,Josh Cameron,WR,Baylor,Senior,6'1,224,,,,,,,,,,,,,,,,
147,Kevin Coleman Jr.,WR,Missouri,Senior,5'11,180,4.4,,,,,,,,,,,,,,,
148,Aaron Anderson,WR,LSU,Junior,5'8,188,4.34,,,,,,,,,,,,,,,
151,Nyziah Hunter,WR,Nebraska,Sophomore,6'1,205,4.45,,,,,,,,,,,,,,,
156,Trebor Pena,WR,Penn State,Senior,5'10,186,4.52,,,,,,,,,,,,,,,
159,Eric McAlister,WR,TCU,Senior,6'3,205,4.52,,,,,,,,,,,,,,,
172,Harrison Wallace III,WR,Mississippi,Senior,6'1,200,,,,,,,,,,,,,,,,
177,J.Michael Sturdivant,WR,Florida,Senior,6'3,213,4.38,,,,,,,,,,,,,,,
182,Dane Key,WR,Nebraska,Senior,6'3,210,4.5,,,,,,,,,,,,,,,
194,Eli Heidenreich,WR,Navy,,,,,,,,,,,,,,,,,,
198,Jaden Greathouse,WR,Notre Dame,Junior,6'1,212,4.55,,,,,,,,,,,,,,,
262,Chase Roberts,WR,BYU,Senior,6'4,210,4.5,,,,,,,,,,,,,,,
263,De'Zhaun Stribling,WR,Ole Miss,Senior,6'2,200,4.52,,,,,,,,,,,,,,,
264,Barion Brown,WR,LSU,Senior,5'11,185,4.28,,,,,,,,,,,,,,,
265,Hykeem Williams,WR,Colorado,Junior,6'2,220,4.32,,,,,,,,,,,,,,,
266,London Humphrey,WR,Georgia,Junior,6'2,200,4.4,,,,,,,,,,,,,,,
267,Jalil Farooq,WR,Maryland,Senior,6'2,213,4.49,,,,,,,,,,,,,,,
268,Raymond Cottrell,WR,Texas A&M,Freshman,6'3,210,4.56,,,,,,,,,,,,,,,
269,Jaquaize Pettaway,WR,East Carolina,Junior,6'0,194,4.37,,,,,,,,,,,,,,,
270,Colby Young,WR,Georgia,Senior,6'3,215,4.6,,,,,,,,,,,,,,,
271,Kendrick Law,WR,Kentucky,Senior,6'0,205,4.42,,,,,,,,,,,,,,,
272,Ayden Williams,WR,Mississippi State,Junior,6'3,205,4.65,,,,,,,,,,,,,,,
273,Noah Thomas,WR,Georgia,Senior,6'5,205,4.45,,,,,,,,,,,,,,,
274,Caulin Lacy,WR,Louisville,Senior,5'10,190,4.45,,,,,,,,,,,,,,,
275,Christian Leary,WR,Western Michigan,Senior,5'10,180,4.4,,,,,,,,,,,,,,,
276,Jojo Earle,WR,UNLV,Senior,5'10,185,4.39,,,,,,,,,,,,,,,
277,Dacari Collins,WR,Louisville,Senior,6'4,215,4.51,,,,,,,,,,,,,,,
278,Squirrel White,WR,Florida Stare,Senior,5'10,170,4.28,,,,,,,,,,,,,,,
279,Jaden Bray,WR,West Virginia,Senior,6'2,209,4.46,,,,,,,,,,,,,,,
280,EJ Williams,WR,Indiana,Senior,6'4,203,4.49,,,,,,,,,,,,,,,
281,Jerand Bradley,WR,Kansas State,Senior,6'5,223,4.5,,,,,,,,,,,,,,,
